icd_idx,icd_lv3,icd_lv2,icd_lv1
4,3,2,1
5,3,2,1
6,3,2,1
8,7,2,1
9,7,2,1
10,7,2,1
11,7,2,1
12,7,2,1
13,7,2,1
14,7,2,1
15,7,2,1
16,7,2,1
17,7,2,1
18,7,2,1
19,7,2,1
21,20,2,1
22,20,2,1
23,20,2,1
24,20,2,1
25,20,2,1
26,20,2,1
27,20,2,1
28,20,2,1
29,20,2,1
30,20,2,1
31,20,2,1
32,20,2,1
34,33,2,1
35,33,2,1
36,33,2,1
37,33,2,1
38,33,2,1
39,33,2,1
41,40,2,1
42,40,2,1
43,40,2,1
44,40,2,1
45,40,2,1
46,40,2,1
47,40,2,1
48,40,2,1
49,40,2,1
50,40,2,1
52,51,2,1
53,51,2,1
54,51,2,1
55,51,2,1
56,51,2,1
57,51,2,1
58,51,2,1
59,51,2,1
60,51,2,1
61,51,2,1
63,62,2,1
64,62,2,1
65,62,2,1
66,62,2,1
67,62,2,1
68,62,2,1
69,62,2,1
70,62,2,1
71,62,2,1
72,62,2,1
73,62,2,1
76,75,74,1
77,75,74,1
78,75,74,1
80,79,74,1
81,79,74,1
82,79,74,1
83,79,74,1
84,79,74,1
85,79,74,1
86,79,74,1
87,79,74,1
88,79,74,1
89,79,74,1
90,79,74,1
91,79,74,1
92,79,74,1
93,79,74,1
94,79,74,1
96,95,74,1
97,95,74,1
98,95,74,1
99,95,74,1
100,95,74,1
103,102,101,1
104,102,101,1
105,102,101,1
106,102,101,1
107,102,101,1
108,102,101,1
110,109,101,1
111,109,101,1
112,109,101,1
113,109,101,1
114,109,101,1
116,115,101,1
117,115,101,1
118,115,101,1
119,115,101,1
121,120,101,1
122,120,101,1
123,120,101,1
124,120,101,1
126,125,101,1
127,125,101,1
128,125,101,1
130,129,101,1
131,129,101,1
132,129,101,1
134,133,101,1
135,133,101,1
136,133,101,1
137,133,101,1
139,138,101,1
140,138,101,1
141,138,101,1
142,138,101,1
145,144,143,1
146,144,143,1
147,144,143,1
148,144,143,1
149,144,143,1
151,150,143,1
152,150,143,1
153,150,143,1
154,150,143,1
155,150,143,1
156,150,143,1
157,150,143,1
158,150,143,1
160,159,143,1
161,159,143,1
162,159,143,1
163,159,143,1
164,159,143,1
165,159,143,1
166,159,143,1
167,159,143,1
168,159,143,1
169,159,143,1
170,159,143,1
171,159,143,1
173,172,143,1
174,172,143,1
175,172,143,1
177,176,143,1
178,176,143,1
179,176,143,1
180,176,143,1
181,176,143,1
182,176,143,1
184,183,143,1
185,183,143,1
186,183,143,1
187,183,143,1
188,183,143,1
189,183,143,1
190,183,143,1
191,183,143,1
192,183,143,1
193,183,143,1
194,183,143,1
195,183,143,1
196,183,143,1
197,183,143,1
199,198,143,1
200,198,143,1
201,198,143,1
202,198,143,1
203,198,143,1
204,198,143,1
205,198,143,1
207,206,143,1
208,206,143,1
209,206,143,1
211,210,143,1
212,210,143,1
213,210,143,1
214,210,143,1
216,215,143,1
217,215,143,1
218,215,143,1
219,215,143,1
221,220,143,1
222,220,143,1
223,220,143,1
224,220,143,1
225,220,143,1
226,220,143,1
227,220,143,1
230,229,228,1
231,229,228,1
232,229,228,1
233,229,228,1
234,229,228,1
235,229,228,1
236,229,228,1
237,229,228,1
238,229,228,1
239,229,228,1
240,229,228,1
241,229,228,1
243,242,228,1
244,242,228,1
245,242,228,1
246,242,228,1
247,242,228,1
248,242,228,1
249,242,228,1
250,242,228,1
251,242,228,1
252,242,228,1
253,242,228,1
254,242,228,1
255,242,228,1
256,242,228,1
258,257,228,1
259,257,228,1
261,260,228,1
262,260,228,1
263,260,228,1
264,260,228,1
265,260,228,1
266,260,228,1
267,260,228,1
268,260,228,1
269,260,228,1
270,260,228,1
271,260,228,1
272,260,228,1
273,260,228,1
274,260,228,1
275,260,228,1
276,260,228,1
277,260,228,1
278,260,228,1
279,260,228,1
281,280,228,1
282,280,228,1
283,280,228,1
284,280,228,1
285,280,228,1
286,280,228,1
287,280,228,1
288,280,228,1
289,280,228,1
291,290,228,1
292,290,228,1
293,290,228,1
294,290,228,1
296,295,228,1
299,298,297,1
300,298,297,1
301,298,297,1
302,298,297,1
303,298,297,1
304,298,297,1
305,298,297,1
306,298,297,1
307,298,297,1
309,308,297,1
310,308,297,1
311,308,297,1
312,308,297,1
313,308,297,1
315,314,297,1
316,314,297,1
317,314,297,1
319,318,297,1
320,318,297,1
321,318,297,1
324,323,322,1
325,323,322,1
326,323,322,1
329,328,327,1
330,328,327,1
331,328,327,1
332,328,327,1
334,333,327,1
335,333,327,1
336,333,327,1
337,333,327,1
338,333,327,1
339,333,327,1
340,333,327,1
341,333,327,1
342,333,327,1
343,333,327,1
345,344,327,1
346,344,327,1
347,344,327,1
348,344,327,1
351,350,349,1
352,350,349,1
353,350,349,1
354,350,349,1
355,350,349,1
356,350,349,1
357,350,349,1
358,350,349,1
359,350,349,1
360,350,349,1
362,361,349,1
363,361,349,1
364,361,349,1
366,365,349,1
367,365,349,1
368,365,349,1
369,365,349,1
370,365,349,1
371,365,349,1
372,365,349,1
373,365,349,1
374,365,349,1
376,375,349,1
377,375,349,1
378,375,349,1
379,375,349,1
381,380,349,1
382,380,349,1
384,383,349,1
385,383,349,1
386,383,349,1
388,387,349,1
