atc_idx,atc_code
1,A
2,A01
3,A01A
4,A01AA
5,A01AA01
6,A01AA02
7,A01AA03
8,A01AA04
9,A01AA30
10,A01AA51
11,A01AB
12,A01AB02
13,A01AB03
14,A01AB04
15,A01AB05
16,A01AB06
17,A01AB07
18,A01AB08
19,A01AB09
20,A01AB10
21,A01AB11
22,A01AB12
23,A01AB13
24,A01AB14
25,A01AB15
26,A01AB16
27,A01AB17
28,A01AB18
29,A01AB19
30,A01AB21
31,A01AB22
32,A01AB23
33,A01AC
34,A01AC01
35,A01AC02
36,A01AC03
37,A01AC54
38,A01AD
39,A01AD01
40,A01AD02
41,A01AD05
42,A01AD06
43,A01AD07
44,A01AD08
45,A01AD11
46,A02
47,A02A
48,A02AA
49,A02AA01
50,A02AA02
51,A02AA03
52,A02AA04
53,A02AA05
54,A02AA10
55,A02AB
56,A02AB01
57,A02AB02
58,A02AB03
59,A02AB04
60,A02AB05
61,A02AB06
62,A02AB07
63,A02AB10
64,A02AC
65,A02AC01
66,A02AC02
67,A02AC10
68,A02AD
69,A02AD01
70,A02AD02
71,A02AD03
72,A02AD04
73,A02AD05
74,A02AF
75,A02AF01
76,A02AF02
77,A02AG
78,A02AH
79,A02AX
80,A02B
81,A02BA
82,A02BA01
83,A02BA02
84,A02BA03
85,A02BA04
86,A02BA05
87,A02BA06
88,A02BA07
89,A02BA08
90,A02BA51
91,A02BA53
92,A02BB
93,A02BB01
94,A02BB02
95,A02BC
96,A02BC01
97,A02BC02
98,A02BC03
99,A02BC04
100,A02BC05
101,A02BC06
102,A02BC07
103,A02BC08
104,A02BC09
105,A02BC53
106,A02BC54
107,A02BD
108,A02BD01
109,A02BD02
110,A02BD03
111,A02BD04
112,A02BD05
113,A02BD06
114,A02BD07
115,A02BD08
116,A02BD09
117,A02BD10
118,A02BD11
119,A02BD12
120,A02BD13
121,A02BD14
122,A02BD15
123,A02BD16
124,A02BX
125,A02BX01
126,A02BX02
127,A02BX03
128,A02BX04
129,A02BX05
130,A02BX06
131,A02BX07
132,A02BX08
133,A02BX09
134,A02BX10
135,A02BX11
136,A02BX12
137,A02BX13
138,A02BX14
139,A02BX51
140,A02BX71
141,A02BX77
142,A03
143,A03A
144,A03AA
145,A03AA01
146,A03AA03
147,A03AA04
148,A03AA05
149,A03AA06
150,A03AA07
151,A03AA08
152,A03AA09
153,A03AA30
154,A03AB
155,A03AB01
156,A03AB02
157,A03AB03
158,A03AB04
159,A03AB05
160,A03AB06
161,A03AB07
162,A03AB08
163,A03AB09
164,A03AB10
165,A03AB11
166,A03AB12
167,A03AB13
168,A03AB14
169,A03AB15
170,A03AB16
171,A03AB17
172,A03AB18
173,A03AB19
174,A03AB21
175,A03AB53
176,A03AC
177,A03AC02
178,A03AC04
179,A03AC05
180,A03AD
181,A03AD01
182,A03AD02
183,A03AD30
184,A03AE
185,A03AE01
186,A03AE03
187,A03AX
188,A03AX01
189,A03AX02
190,A03AX03
191,A03AX04
192,A03AX05
193,A03AX06
194,A03AX07
195,A03AX08
196,A03AX09
197,A03AX10
198,A03AX11
199,A03AX12
200,A03AX13
201,A03AX14
202,A03AX15
203,A03AX30
204,A03AX58
205,A03B
206,A03BA
207,A03BA01
208,A03BA03
209,A03BA04
210,A03BB
211,A03BB01
212,A03BB02
213,A03BB03
214,A03BB04
215,A03BB05
216,A03BB06
217,A03C
218,A03CA
219,A03CA01
220,A03CA02
221,A03CA03
222,A03CA04
223,A03CA05
224,A03CA06
225,A03CA07
226,A03CA08
227,A03CA09
228,A03CA30
229,A03CA34
230,A03CB
231,A03CB01
232,A03CB02
233,A03CB03
234,A03CB04
235,A03CB31
236,A03CC
237,A03D
238,A03DA
239,A03DA01
240,A03DA02
241,A03DA03
242,A03DA04
243,A03DA05
244,A03DA06
245,A03DA07
246,A03DB
247,A03DB04
248,A03DC
249,A03E
250,A03EA
251,A03ED
252,A03F
253,A03FA
254,A03FA01
255,A03FA02
256,A03FA03
257,A03FA04
258,A03FA05
259,A03FA06
