icd_idx,icd_code
1,A00-B99
2,A00-A09
3,A00
4,A000
5,A001
6,A009
7,A01
8,A010
9,A0100
10,A0101
11,A0102
12,A0103
13,A0104
14,A0105
15,A0109
16,A011
17,A012
18,A013
19,A014
20,A02
21,A020
22,A021
23,A022
24,A0220
25,A0221
26,A0222
27,A0223
28,A0224
29,A0225
30,A0229
31,A028
32,A029
33,A03
34,A030
35,A031
36,A032
37,A033
38,A038
39,A039
40,A04
41,A040
42,A041
43,A042
44,A043
45,A045
46,A047
47,A0471
48,A0472
49,A048
50,A049
51,A06
52,A060
53,A061
54,A062
55,A063
56,A064
57,A067
58,A0681
59,A0682
60,A0689
61,A069
62,A08
63,A080
64,A081
65,A0811
66,A0819
67,A082
68,A083
69,A0831
70,A0832
71,A0839
72,A084
73,A088
74,A15-A19
75,A17
76,A178
77,A1789
78,A179
79,A18
80,A180
81,A181
82,A1810
83,A1815
84,A1818
85,A182
86,A183
87,A1839
88,A185
89,A1850
90,A1851
91,A1852
92,A1854
93,A188
94,A1889
95,A19
96,A190
97,A191
98,A192
99,A198
100,A199
101,A20-A28
102,A20
103,A200
104,A201
105,A202
106,A203
107,A208
108,A209
109,A21
110,A210
111,A211
112,A213
113,A218
114,A219
115,A22
116,A220
117,A222
118,A228
119,A229
120,A24
121,A240
122,A242
123,A243
124,A249
125,A25
126,A250
127,A251
128,A259
129,A26
130,A260
131,A268
132,A269
133,A27
134,A270
135,A278
136,A2789
137,A279
138,A28
139,A280
140,A281
141,A288
142,A289
143,A30-A49
144,A31
145,A310
146,A311
147,A312
148,A318
149,A319
150,A36
151,A360
152,A361
153,A362
154,A363
155,A368
156,A3682
157,A3686
158,A369
159,A37
160,A370
161,A3700
162,A3701
163,A371
164,A3710
165,A3711
166,A378
167,A3780
168,A3781
169,A379
170,A3790
171,A3791
172,A38
173,A381
174,A388
175,A389
176,A39
177,A392
178,A393
179,A395
180,A398
181,A3982
182,A3989
183,A41
184,A410
185,A4101
186,A411
187,A412
188,A413
189,A414
190,A415
191,A4150
192,A4151
193,A4152
194,A4153
195,A4159
196,A418
197,A4189
198,A42
199,A421
200,A422
201,A428
202,A4281
203,A4282
204,A4289
205,A429
206,A43
207,A431
