drug_idx,atc1_idx,atc2_idx,atc3_idx,atc4_idx,atc5_idx
1,5138,5235,5236,5237,5238
2,5138,5235,5236,5237,5239
3,5138,5235,5236,5242,5245
4,5138,5235,5236,5242,5244
5,5138,5235,5236,5242,5243
6,5138,5235,5236,5242,5246
7,5138,5235,5236,5240,5241
8,5138,5235,5247,5256,5258
9,5138,5235,5247,5256,5257
10,5138,5235,5247,5248,5255
11,5138,5235,5247,5248,5249
12,5138,5235,5247,5248,5251
13,5138,5235,5247,5248,5250
14,5138,5235,5247,5248,5253
15,5138,5235,5247,5248,5252
16,5138,5235,5247,5248,5254
17,5138,5235,5247,5264,5265
18,5138,5235,5247,5262,5263
19,5138,5235,5247,5266,5267
20,5138,5235,5247,5266,5268
21,5138,5235,5247,5266,5269
22,5138,5235,5247,5259,5260
23,5138,5235,5247,5259,5261
24,5138,5235,5270,5273,5275
25,5138,5235,5270,5273,5274
26,5138,5235,5270,5271,5272
27,5138,5139,5217,5230,5234
28,5138,5139,5217,5230,5233
29,5138,5139,5217,5230,5232
30,5138,5139,5217,5230,5231
31,5138,5139,5217,5218,5219
32,5138,5139,5217,5218,5220
33,5138,5139,5217,5224,5225
34,5138,5139,5217,5224,5226
35,5138,5139,5217,5221,5222
36,5138,5139,5217,5221,5223
37,5138,5139,5217,5227,5229
38,5138,5139,5217,5227,5228
39,5138,5139,5180,5214,5215
40,5138,5139,5180,5214,5216
41,5138,5139,5180,5204,5212
42,5138,5139,5180,5204,5213
43,5138,5139,5180,5204,5206
44,5138,5139,5180,5204,5207
45,5138,5139,5180,5204,5205
46,5138,5139,5180,5204,5210
47,5138,5139,5180,5204,5211
48,5138,5139,5180,5204,5208
49,5138,5139,5180,5204,5209
50,5138,5139,5180,5195,5197
51,5138,5139,5180,5195,5196
52,5138,5139,5180,5198,5199
53,5138,5139,5180,5198,5201
54,5138,5139,5180,5198,5200
55,5138,5139,5180,5198,5203
56,5138,5139,5180,5198,5202
57,5138,5139,5180,5187,5189
58,5138,5139,5180,5187,5188
59,5138,5139,5180,5187,5190
60,5138,5139,5180,5187,5191
61,5138,5139,5180,5192,5194
62,5138,5139,5180,5192,5193
63,5138,5139,5180,5181,5186
64,5138,5139,5180,5181,5185
65,5138,5139,5180,5181,5182
66,5138,5139,5180,5181,5184
67,5138,5139,5180,5181,5183
68,5138,5139,5140,5163,5165
69,5138,5139,5140,5163,5164
70,5138,5139,5140,5163,5167
71,5138,5139,5140,5163,5166
72,5138,5139,5140,5158,5162
73,5138,5139,5140,5158,5161
74,5138,5139,5140,5158,5159
